Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Ant's Corner],Price [Ant's Corner],In stock [Ant's Corner],Low stock [Ant's Corner]
hello-kitty-ring-pop,10725,HELLO KITTY RING POP,Cake Accessories,,N,,,,,,,27.42,137341680827,,,Y,Y,40,1,5
high-flat-lid-95mm-100's,10440,HIGH FLAT LID 95MM 100'S,Packaging & Containers,,N,,,,,,,88,137341680828,,,Y,Y,115,0,3
hinge-cup-1oz-50's,10348,HINGED CUP 1oz 30x50'S,Packaging & Containers,,N,,,,,,,22.67,137341680829,,,Y,Y,50,26,10
hinged-cup-20ml-50's,10066,HINGED CUP 20ml 50'S,Packaging & Containers,,N,,,,,,,28.66,137341680830,,,Y,Y,47,100,10
hinge-cup-3oz-50's,10350,HINGED CUP 3oz 30x50'S,Packaging & Containers,,N,,,,,,,30,137341680831,,,Y,Y,65,0,10
hinged-cup-4oz-50's,10678,HINGED CUP 4oz 50'S,Packaging & Containers,,N,,,,,,,50,137341680832,,,Y,Y,70,1,10
hotdog-marshmallow-1,10925,HOTDOG MARSHMALLOW,Candies & Sweets,,N,,,,,,,3.67,137341680833,,,Y,Y,10,12,5
hotdog-marshmallow,10915,HOTDOG MARSHMALLOW- BOX,Candies & Sweets,,N,,,,,,,115,137341680834,,,Y,Y,150,2,1
hotdog-silver-plate,3001,HOTDOG SILVER PLATE,Packaging & Containers,,N,,,,,,,10.75,527341680323,,,Y,Y,23,8,5
hy-bamboo-fruit-fork-90mm-100's,10384,HY BAMBOO FRUIT FORK 90MM 100'S,Packaging & Containers,,N,,,,,,,15,137341680835,,,Y,Y,25,4,10
icing-flower-cake-topper-colorful,10811,ICING FLOWER CAKE TOPPER COLORFUL,Baking Supplies,,N,,,,,,,63.05,137341680836,,,Y,Y,90,2,
icing-tips-1m,10057,ICING TIPS 1M,Baking Supplies,,N,,,,,,,20.83,527341680325,,,Y,Y,42,3,2
icing-tips-2m,10058,ICING TIPS 2D,Baking Supplies,,N,,,,,,,20.83,527341680326,,,Y,Y,42,3,2
icing-tips--195,10834,ICING TIPS- 195,Baking Supplies,,N,,,,,,,20.83,137341680837,,,Y,Y,42,0,2
icing-tips--2f,10835,ICING TIPS- 2F,Baking Supplies,,N,,,,,,,20.83,137341680838,,,Y,Y,42,3,2
icing-tips--336,10833,ICING TIPS- 336,Baking Supplies,,N,,,,,,,20.83,137341680839,,,Y,Y,45,0,2
icing-tips--6b,10836,ICING TIPS- 6B,Baking Supplies,,N,,,,,,,20.83,137341680840,,,Y,Y,42,2,2
IW2107,1523-1,INDIVIDUAL WRAP 230MM 100'S,Packaging & Containers,,N,,,,,,,73.33,527341680327,,,Y,Y,92,27,1
IBP20,1001,INJOY BARBEQUE POWDER 200G,Injoy,,N,,,,,,,28,4806524342963,,,Y,Y,41,5,3
IBLP2,1002,INJOY BLUE LEMONADE PALAMIG 200G- W/ BUNDLE,Injoy,,N,,,,,,,95,4806524343588,,,Y,Y,110,4,10
ICS10,1003,INJOY CARAMEL SYRUP (POUCH) 1KG,Injoy,,N,,,,,,,116,527341680332,,,Y,Y,148,10,5
injoy-caramel-syrup-(bottle),10153,INJOY CARAMELIZED SUGAR,Injoy,,N,,,,,,,120,527341680333,,,Y,Y,152,2,2
ICDP2,1005,INJOY CHEESE DIP POWDER 250G,Injoy,,N,,,,,,,83.42,527341680334,,,Y,Y,101,0,2
ICP20,1006,INJOY CHEESE POWDER 200G,Injoy,,N,,,,,,,28,4806524342932,,,Y,Y,41,0,3
ICS70,1008,INJOY CHOCOLATE SYRUP 750ML,Injoy,,N,,,,,,,132,4806524341232,,,Y,Y,173,0,5
ICC51,1010,INJOY CRUSHED COOKIES 500G,Injoy,,N,,,,,,,118,527341680338,,,Y,Y,136,0,1
injoy-cucumber-200g-w/o-bundle,10265,INJOY CUCUMBER 200G W/O BUNDLE,Injoy,,N,,,,,,,63,137341680841,,,Y,Y,87,0,1
ICL20,1011,INJOY CUCUMBER LEMONADE 200G - w/ BUNDLE,Injoy,,N,,,,,,,103,4806524344509,,,Y,Y,120,11,10
injoy-four-season,10207,INJOY FOUR SEASONS 200g,Injoy,,N,,,,,,,65,4806524344738,,,Y,Y,82,5,5
IFSBL,1012,INJOY FRUIT SYRUP BLUE LEMONADE 1L,Injoy,,N,,,,,,,97.5,4806524343991,,,Y,Y,130,14,10
IFSB1,1013,INJOY FRUIT SYRUP BLUEBERRY 1L,Injoy,,N,,,,,,,127.5,4806524344004,,,Y,Y,150,56,10
IFSFS,1014,INJOY FRUIT SYRUP FOUR SEASONS 1L,Injoy,,N,,,,,,,103,4806524344028,,,Y,Y,160,2,5
IFSGA,1015,INJOY FRUIT SYRUP GREEN APPLE 1L,Injoy,,N,,,,,,,97.5,4806524344011,,,Y,Y,130,46,10
injoy-fruit-syrup-lychee-1l,10005,INJOY FRUIT SYRUP LYCHEE 1L,Injoy,,N,,,,,,,97.5,4806524344073,,,Y,Y,130,32,19
